lr,reg,arch,warmup_epochs,batch_size,best_val_acc
0.01,0.001,"[784, 600, 128, 10]",100,256,0.8853
0.01,0.0,"[784, 600, 128, 10]",100,256,0.8849
0.01,0.001,"[784, 256, 128, 10]",100,256,0.8798
0.01,0.0,"[784, 256, 128, 10]",100,256,0.8796
0.01,0.0,"[784, 256, 128, 10]",100,64,0.8738
0.01,0.001,"[784, 600, 128, 10]",100,64,0.8722
0.01,0.001,"[784, 256, 128, 10]",100,64,0.8717
0.01,0.001,"[784, 600, 128, 10]",100,1024,0.8638
0.01,0.0,"[784, 600, 128, 10]",100,1024,0.8632
0.01,0.0,"[784, 600, 128, 10]",100,64,0.8628
0.01,0.001,"[784, 256, 128, 10]",0,256,0.8604
0.01,0.0,"[784, 256, 128, 10]",0,256,0.8595
0.01,0.0,"[784, 256, 128, 10]",0,1024,0.8542
0.01,0.001,"[784, 256, 128, 10]",0,1024,0.8541
0.01,0.0,"[784, 256, 128, 10]",100,1024,0.8529
0.01,0.001,"[784, 256, 128, 10]",100,1024,0.8518
0.001,0.001,"[784, 600, 128, 10]",100,64,0.8466
0.001,0.0,"[784, 600, 128, 10]",100,64,0.8457
0.001,0.001,"[784, 600, 128, 10]",0,64,0.8456
0.001,0.0,"[784, 600, 128, 10]",0,64,0.8447
0.001,0.0,"[784, 600, 128, 10]",100,256,0.8304
0.001,0.001,"[784, 600, 128, 10]",100,256,0.8297
0.001,0.001,"[784, 600, 128, 10]",0,256,0.8285
0.001,0.0,"[784, 600, 128, 10]",0,256,0.8278
0.001,0.0,"[784, 256, 128, 10]",100,64,0.8228
0.001,0.001,"[784, 256, 128, 10]",100,64,0.8224
0.01,0.001,"[784, 600, 128, 10]",0,1024,0.8223
0.01,0.001,"[784, 600, 128, 10]",0,64,0.8221
0.01,0.0,"[784, 600, 128, 10]",0,1024,0.8217
0.01,0.0,"[784, 600, 128, 10]",0,64,0.8203
0.001,0.0,"[784, 256, 128, 10]",0,64,0.8202
0.001,0.001,"[784, 256, 128, 10]",0,64,0.8193
0.001,0.0,"[784, 256, 128, 10]",100,256,0.8029
0.001,0.001,"[784, 256, 128, 10]",100,256,0.8026
0.001,0.0,"[784, 256, 128, 10]",0,256,0.8024
0.001,0.001,"[784, 256, 128, 10]",0,256,0.8024
0.01,0.001,"[784, 600, 128, 10]",0,256,0.7935
0.01,0.0,"[784, 600, 128, 10]",0,256,0.791
0.01,0.0,"[784, 128, 10]",100,64,0.7895
0.01,0.001,"[784, 128, 10]",100,64,0.7894
0.01,0.0,"[784, 256, 128, 10]",0,64,0.788
0.01,0.001,"[784, 256, 128, 10]",0,64,0.7868
0.01,0.001,"[784, 128, 10]",0,64,0.786
0.01,0.0,"[784, 128, 10]",0,64,0.786
0.01,0.001,"[784, 128, 10]",100,256,0.7634
0.01,0.0,"[784, 128, 10]",100,256,0.7634
0.001,0.0,"[784, 600, 128, 10]",0,1024,0.7625
0.001,0.001,"[784, 600, 128, 10]",0,1024,0.7622
0.01,0.001,"[784, 128, 10]",0,256,0.7607
